StudyInstanceUID,slice_number
1.2.826.0.1.3680043.11192,0
1.2.826.0.1.3680043.11202,0
1.2.826.0.1.3680043.11227,0
1.2.826.0.1.3680043.11245,0
1.2.826.0.1.3680043.11254,0
1.2.826.0.1.3680043.11281,0
1.2.826.0.1.3680043.11300,0
1.2.826.0.1.3680043.11348,0
1.2.826.0.1.3680043.11377,0
1.2.826.0.1.3680043.11384,0
1.2.826.0.1.3680043.11392,0
1.2.826.0.1.3680043.11401,0
1.2.826.0.1.3680043.11428,0
1.2.826.0.1.3680043.11506,0
1.2.826.0.1.3680043.1151,0
1.2.826.0.1.3680043.11515,0
1.2.826.0.1.3680043.11605,0
1.2.826.0.1.3680043.11606,0
1.2.826.0.1.3680043.11610,0
1.2.826.0.1.3680043.11617,0
1.2.826.0.1.3680043.11644,0
1.2.826.0.1.3680043.11645,0
1.2.826.0.1.3680043.11654,0
1.2.826.0.1.3680043.11659,0
1.2.826.0.1.3680043.11664,0
1.2.826.0.1.3680043.1168,0
1.2.826.0.1.3680043.11683,0
1.2.826.0.1.3680043.11685,0
1.2.826.0.1.3680043.11691,0
1.2.826.0.1.3680043.11692,0
1.2.826.0.1.3680043.11709,0
1.2.826.0.1.3680043.11718,0
1.2.826.0.1.3680043.11727,0
1.2.826.0.1.3680043.11743,0
1.2.826.0.1.3680043.11757,0
1.2.826.0.1.3680043.1177,0
1.2.826.0.1.3680043.1181,0
1.2.826.0.1.3680043.11827,0
1.2.826.0.1.3680043.11834,0
1.2.826.0.1.3680043.11849,0
1.2.826.0.1.3680043.11856,0
1.2.826.0.1.3680043.1187,0
1.2.826.0.1.3680043.11870,0
1.2.826.0.1.3680043.11899,0
1.2.826.0.1.3680043.11901,0
1.2.826.0.1.3680043.1195,0
1.2.826.0.1.3680043.11988,0
1.2.826.0.1.3680043.120,0
1.2.826.0.1.3680043.12013,0
1.2.826.0.1.3680043.12031,0
1.2.826.0.1.3680043.12053,0
1.2.826.0.1.3680043.12095,0
1.2.826.0.1.3680043.12100,0
1.2.826.0.1.3680043.12109,0
1.2.826.0.1.3680043.12121,0
1.2.826.0.1.3680043.12125,0
1.2.826.0.1.3680043.12131,0
1.2.826.0.1.3680043.12138,0
1.2.826.0.1.3680043.12140,0
1.2.826.0.1.3680043.12145,0
1.2.826.0.1.3680043.12152,0
1.2.826.0.1.3680043.12161,0
1.2.826.0.1.3680043.12168,0
1.2.826.0.1.3680043.12182,0
1.2.826.0.1.3680043.12189,0
1.2.826.0.1.3680043.12233,0
1.2.826.0.1.3680043.12253,0
1.2.826.0.1.3680043.12259,0
1.2.826.0.1.3680043.12275,0
1.2.826.0.1.3680043.12281,0
1.2.826.0.1.3680043.12282,0
1.2.826.0.1.3680043.12292,0
1.2.826.0.1.3680043.12314,0
1.2.826.0.1.3680043.12328,0
1.2.826.0.1.3680043.12341,0
1.2.826.0.1.3680043.12351,0
1.2.826.0.1.3680043.12359,0
1.2.826.0.1.3680043.12361,0
1.2.826.0.1.3680043.12370,0
1.2.826.0.1.3680043.12384,0
1.2.826.0.1.3680043.1239,0
1.2.826.0.1.3680043.12395,0
1.2.826.0.1.3680043.12409,0
1.2.826.0.1.3680043.12434,0
1.2.826.0.1.3680043.12453,0
1.2.826.0.1.3680043.12487,0
1.2.826.0.1.3680043.1252,0
1.2.826.0.1.3680043.12532,0
1.2.826.0.1.3680043.12533,0
1.2.826.0.1.3680043.12549,0
1.2.826.0.1.3680043.12550,0
1.2.826.0.1.3680043.12587,0
1.2.826.0.1.3680043.12625,0
1.2.826.0.1.3680043.12632,0
1.2.826.0.1.3680043.12636,0
1.2.826.0.1.3680043.12639,0
1.2.826.0.1.3680043.12654,0
1.2.826.0.1.3680043.12655,0
1.2.826.0.1.3680043.12666,0
1.2.826.0.1.3680043.12673,0
1.2.826.0.1.3680043.12675,0
1.2.826.0.1.3680043.12695,0
1.2.826.0.1.3680043.12702,0
1.2.826.0.1.3680043.1271,0
1.2.826.0.1.3680043.12718,0
1.2.826.0.1.3680043.12727,0
1.2.826.0.1.3680043.12764,0
1.2.826.0.1.3680043.12767,0
1.2.826.0.1.3680043.12785,0
1.2.826.0.1.3680043.128,0
1.2.826.0.1.3680043.12800,0
1.2.826.0.1.3680043.12814,0
1.2.826.0.1.3680043.12833,0
1.2.826.0.1.3680043.1286,0
1.2.826.0.1.3680043.12863,0
1.2.826.0.1.3680043.12873,0
1.2.826.0.1.3680043.12879,0
1.2.826.0.1.3680043.1291,0
1.2.826.0.1.3680043.12949,0
1.2.826.0.1.3680043.12956,0
1.2.826.0.1.3680043.1298,0
1.2.826.0.1.3680043.12998,0
1.2.826.0.1.3680043.13037,0
1.2.826.0.1.3680043.13056,0
1.2.826.0.1.3680043.13063,0
1.2.826.0.1.3680043.13064,0
1.2.826.0.1.3680043.13068,0
1.2.826.0.1.3680043.13082,0
1.2.826.0.1.3680043.1309,0
1.2.826.0.1.3680043.13091,0
1.2.826.0.1.3680043.13096,0
1.2.826.0.1.3680043.13114,0
1.2.826.0.1.3680043.13128,0
1.2.826.0.1.3680043.13153,0
1.2.826.0.1.3680043.13155,0
1.2.826.0.1.3680043.13196,0
1.2.826.0.1.3680043.13197,0
1.2.826.0.1.3680043.13203,0
1.2.826.0.1.3680043.1321,0
1.2.826.0.1.3680043.13229,0
1.2.826.0.1.3680043.13237,0
1.2.826.0.1.3680043.13324,0
1.2.826.0.1.3680043.13337,0
1.2.826.0.1.3680043.1334,0
1.2.826.0.1.3680043.13357,0
1.2.826.0.1.3680043.13359,0
1.2.826.0.1.3680043.13360,0
1.2.826.0.1.3680043.13374,0
1.2.826.0.1.3680043.13395,0
1.2.826.0.1.3680043.13401,0
1.2.826.0.1.3680043.13405,0
1.2.826.0.1.3680043.13431,0
1.2.826.0.1.3680043.1344,0
1.2.826.0.1.3680043.13440,0
1.2.826.0.1.3680043.13444,0
1.2.826.0.1.3680043.13446,0
1.2.826.0.1.3680043.13447,0
1.2.826.0.1.3680043.13451,0
1.2.826.0.1.3680043.13457,0
1.2.826.0.1.3680043.13471,0
1.2.826.0.1.3680043.13477,0
1.2.826.0.1.3680043.13479,0
1.2.826.0.1.3680043.13481,0
1.2.826.0.1.3680043.13505,0
1.2.826.0.1.3680043.13509,0
1.2.826.0.1.3680043.13519,0
1.2.826.0.1.3680043.13561,0
1.2.826.0.1.3680043.13571,0
1.2.826.0.1.3680043.13587,0
1.2.826.0.1.3680043.13591,0
1.2.826.0.1.3680043.13596,0
1.2.826.0.1.3680043.1363,0
1.2.826.0.1.3680043.13646,0
1.2.826.0.1.3680043.13703,0
1.2.826.0.1.3680043.1371,0
1.2.826.0.1.3680043.13743,0
1.2.826.0.1.3680043.13746,0
1.2.826.0.1.3680043.13756,0
1.2.826.0.1.3680043.13783,0
1.2.826.0.1.3680043.1381,0
1.2.826.0.1.3680043.13810,0
1.2.826.0.1.3680043.13814,0
1.2.826.0.1.3680043.13820,0
1.2.826.0.1.3680043.13902,0
1.2.826.0.1.3680043.13913,0
1.2.826.0.1.3680043.13917,0
1.2.826.0.1.3680043.13943,0
1.2.826.0.1.3680043.13950,0
1.2.826.0.1.3680043.13954,0
1.2.826.0.1.3680043.13967,0
1.2.826.0.1.3680043.13969,0
1.2.826.0.1.3680043.13975,0
1.2.826.0.1.3680043.14,0
1.2.826.0.1.3680043.14009,0
1.2.826.0.1.3680043.14012,0
1.2.826.0.1.3680043.14029,0
1.2.826.0.1.3680043.14038,0
1.2.826.0.1.3680043.14059,0
1.2.826.0.1.3680043.1406,0
1.2.826.0.1.3680043.14070,0
1.2.826.0.1.3680043.14071,0
1.2.826.0.1.3680043.14078,0
1.2.826.0.1.3680043.14087,0
1.2.826.0.1.3680043.14089,0
1.2.826.0.1.3680043.14093,0
1.2.826.0.1.3680043.14157,0
1.2.826.0.1.3680043.14174,0
1.2.826.0.1.3680043.14186,0
1.2.826.0.1.3680043.142,0
1.2.826.0.1.3680043.14232,0
1.2.826.0.1.3680043.14234,0
1.2.826.0.1.3680043.14262,0
1.2.826.0.1.3680043.14263,0
1.2.826.0.1.3680043.14267,0
1.2.826.0.1.3680043.1427,0
1.2.826.0.1.3680043.14278,0
1.2.826.0.1.3680043.1429,0
1.2.826.0.1.3680043.143,0
1.2.826.0.1.3680043.14341,0
1.2.826.0.1.3680043.14345,0
1.2.826.0.1.3680043.14348,0
1.2.826.0.1.3680043.14360,0
1.2.826.0.1.3680043.14369,0
1.2.826.0.1.3680043.14380,0
1.2.826.0.1.3680043.14405,0
1.2.826.0.1.3680043.14419,0
1.2.826.0.1.3680043.14421,0
1.2.826.0.1.3680043.1443,0
1.2.826.0.1.3680043.14435,0
1.2.826.0.1.3680043.14454,0
1.2.826.0.1.3680043.14459,0
1.2.826.0.1.3680043.14464,0
1.2.826.0.1.3680043.14465,0
1.2.826.0.1.3680043.14467,0
1.2.826.0.1.3680043.14589,0
1.2.826.0.1.3680043.14598,0
1.2.826.0.1.3680043.14615,0
1.2.826.0.1.3680043.14652,0
1.2.826.0.1.3680043.14654,0
1.2.826.0.1.3680043.14669,0
1.2.826.0.1.3680043.14697,0
1.2.826.0.1.3680043.1470,0
1.2.826.0.1.3680043.14704,0
1.2.826.0.1.3680043.14723,0
1.2.826.0.1.3680043.14728,0
1.2.826.0.1.3680043.14740,0
1.2.826.0.1.3680043.1476,0
1.2.826.0.1.3680043.14780,0
1.2.826.0.1.3680043.1479,0
1.2.826.0.1.3680043.14790,0
1.2.826.0.1.3680043.1480,0
1.2.826.0.1.3680043.14823,0
1.2.826.0.1.3680043.14833,0
1.2.826.0.1.3680043.14847,0
1.2.826.0.1.3680043.14852,0
1.2.826.0.1.3680043.14868,0
1.2.826.0.1.3680043.14902,0
1.2.826.0.1.3680043.14916,0
1.2.826.0.1.3680043.14917,0
1.2.826.0.1.3680043.14925,0
1.2.826.0.1.3680043.14994,0
1.2.826.0.1.3680043.15000,0
1.2.826.0.1.3680043.15006,0
1.2.826.0.1.3680043.15016,0
1.2.826.0.1.3680043.15084,0
1.2.826.0.1.3680043.1509,0
1.2.826.0.1.3680043.15105,0
1.2.826.0.1.3680043.15113,0
1.2.826.0.1.3680043.15149,0
1.2.826.0.1.3680043.15151,0
1.2.826.0.1.3680043.15197,0
1.2.826.0.1.3680043.15206,0
1.2.826.0.1.3680043.15213,0
1.2.826.0.1.3680043.15253,0
1.2.826.0.1.3680043.15259,0
1.2.826.0.1.3680043.15277,0
1.2.826.0.1.3680043.15325,0
1.2.826.0.1.3680043.15338,0
1.2.826.0.1.3680043.15349,0
1.2.826.0.1.3680043.15386,0
1.2.826.0.1.3680043.15404,0
1.2.826.0.1.3680043.15418,0
1.2.826.0.1.3680043.1542,0
1.2.826.0.1.3680043.15474,0
1.2.826.0.1.3680043.15485,0
1.2.826.0.1.3680043.15492,0
1.2.826.0.1.3680043.15542,0
1.2.826.0.1.3680043.15563,0
1.2.826.0.1.3680043.15570,0
1.2.826.0.1.3680043.15576,0
1.2.826.0.1.3680043.15587,0
1.2.826.0.1.3680043.15593,0
1.2.826.0.1.3680043.15621,0
1.2.826.0.1.3680043.15623,0
1.2.826.0.1.3680043.15627,0
1.2.826.0.1.3680043.15641,0
1.2.826.0.1.3680043.15669,0
1.2.826.0.1.3680043.15674,0
1.2.826.0.1.3680043.15680,0
1.2.826.0.1.3680043.15699,0
1.2.826.0.1.3680043.1573,0
1.2.826.0.1.3680043.15733,0
1.2.826.0.1.3680043.15773,0
1.2.826.0.1.3680043.15776,0
1.2.826.0.1.3680043.15785,0
1.2.826.0.1.3680043.15809,0
1.2.826.0.1.3680043.15840,0
1.2.826.0.1.3680043.15842,0
1.2.826.0.1.3680043.15845,0
1.2.826.0.1.3680043.15857,0
1.2.826.0.1.3680043.15891,0
1.2.826.0.1.3680043.15909,0
1.2.826.0.1.3680043.15917,0
1.2.826.0.1.3680043.15926,0
1.2.826.0.1.3680043.15952,0
1.2.826.0.1.3680043.15979,0
1.2.826.0.1.3680043.15981,0
1.2.826.0.1.3680043.15994,0
1.2.826.0.1.3680043.16027,0
1.2.826.0.1.3680043.16030,0
1.2.826.0.1.3680043.1606,0
1.2.826.0.1.3680043.16092,0
1.2.826.0.1.3680043.16110,0
1.2.826.0.1.3680043.16124,0
1.2.826.0.1.3680043.16141,0
1.2.826.0.1.3680043.16148,0
1.2.826.0.1.3680043.16163,0
1.2.826.0.1.3680043.16180,0
1.2.826.0.1.3680043.16188,0
1.2.826.0.1.3680043.16195,0
1.2.826.0.1.3680043.16206,0
1.2.826.0.1.3680043.1625,0
1.2.826.0.1.3680043.16262,0
1.2.826.0.1.3680043.16277,0
1.2.826.0.1.3680043.16308,0
1.2.826.0.1.3680043.1632,0
1.2.826.0.1.3680043.16329,0
1.2.826.0.1.3680043.16330,0
1.2.826.0.1.3680043.16333,0
1.2.826.0.1.3680043.1634,0
1.2.826.0.1.3680043.16348,0
1.2.826.0.1.3680043.1636,0
1.2.826.0.1.3680043.16374,0
1.2.826.0.1.3680043.16386,0
1.2.826.0.1.3680043.16408,0
1.2.826.0.1.3680043.1641,0
1.2.826.0.1.3680043.16444,0
1.2.826.0.1.3680043.16451,0
1.2.826.0.1.3680043.16455,0
1.2.826.0.1.3680043.16457,0
1.2.826.0.1.3680043.16463,0
1.2.826.0.1.3680043.1647,0
1.2.826.0.1.3680043.16486,0
1.2.826.0.1.3680043.16498,0
1.2.826.0.1.3680043.16511,0
1.2.826.0.1.3680043.16527,0
1.2.826.0.1.3680043.16534,0
1.2.826.0.1.3680043.16546,0
1.2.826.0.1.3680043.16548,0
1.2.826.0.1.3680043.16563,0
1.2.826.0.1.3680043.16572,0
1.2.826.0.1.3680043.166,0
1.2.826.0.1.3680043.16643,0
1.2.826.0.1.3680043.16651,0
1.2.826.0.1.3680043.16658,0
1.2.826.0.1.3680043.1668,0
1.2.826.0.1.3680043.16688,0
1.2.826.0.1.3680043.16693,0
1.2.826.0.1.3680043.16707,0
1.2.826.0.1.3680043.16729,0
1.2.826.0.1.3680043.16747,0
1.2.826.0.1.3680043.16759,0
1.2.826.0.1.3680043.16764,0
1.2.826.0.1.3680043.16770,0
1.2.826.0.1.3680043.1679,0
1.2.826.0.1.3680043.16806,0
1.2.826.0.1.3680043.16811,0
1.2.826.0.1.3680043.16813,0
1.2.826.0.1.3680043.16820,0
1.2.826.0.1.3680043.16824,0
1.2.826.0.1.3680043.16830,0
1.2.826.0.1.3680043.16833,0
1.2.826.0.1.3680043.16838,0
1.2.826.0.1.3680043.1685,0
1.2.826.0.1.3680043.16853,0
1.2.826.0.1.3680043.16866,0
1.2.826.0.1.3680043.16889,0
1.2.826.0.1.3680043.1689,0
1.2.826.0.1.3680043.16906,0
1.2.826.0.1.3680043.16919,0
1.2.826.0.1.3680043.16931,0
1.2.826.0.1.3680043.16935,0
1.2.826.0.1.3680043.16993,0
1.2.826.0.1.3680043.170,0
1.2.826.0.1.3680043.17016,0
1.2.826.0.1.3680043.17052,0
1.2.826.0.1.3680043.17061,0
1.2.826.0.1.3680043.17069,0
1.2.826.0.1.3680043.1708,0
1.2.826.0.1.3680043.17094,0
1.2.826.0.1.3680043.171,0
1.2.826.0.1.3680043.17127,0
1.2.826.0.1.3680043.17129,0
1.2.826.0.1.3680043.17166,0
1.2.826.0.1.3680043.17170,0
1.2.826.0.1.3680043.17184,0
1.2.826.0.1.3680043.17194,0
1.2.826.0.1.3680043.17208,0
1.2.826.0.1.3680043.17210,0
1.2.826.0.1.3680043.17242,0
1.2.826.0.1.3680043.17246,0
1.2.826.0.1.3680043.17262,0
1.2.826.0.1.3680043.17266,0
1.2.826.0.1.3680043.17284,0
1.2.826.0.1.3680043.17287,0
1.2.826.0.1.3680043.17288,0
1.2.826.0.1.3680043.17325,0
1.2.826.0.1.3680043.17341,0
1.2.826.0.1.3680043.17346,0
1.2.826.0.1.3680043.17359,0
1.2.826.0.1.3680043.17364,0
1.2.826.0.1.3680043.17370,0
1.2.826.0.1.3680043.17382,0
1.2.826.0.1.3680043.17387,0
1.2.826.0.1.3680043.17401,0
1.2.826.0.1.3680043.17403,0
1.2.826.0.1.3680043.17423,0
1.2.826.0.1.3680043.17425,0
1.2.826.0.1.3680043.17438,0
1.2.826.0.1.3680043.17443,0
1.2.826.0.1.3680043.17455,0
1.2.826.0.1.3680043.17457,0
1.2.826.0.1.3680043.17481,0
1.2.826.0.1.3680043.17483,0
1.2.826.0.1.3680043.17495,0
1.2.826.0.1.3680043.17497,0
1.2.826.0.1.3680043.1750,0
1.2.826.0.1.3680043.17505,0
1.2.826.0.1.3680043.17523,0
1.2.826.0.1.3680043.17524,0
1.2.826.0.1.3680043.17529,0
1.2.826.0.1.3680043.17553,0
1.2.826.0.1.3680043.17607,0
1.2.826.0.1.3680043.17625,0
1.2.826.0.1.3680043.17692,0
1.2.826.0.1.3680043.17697,0
1.2.826.0.1.3680043.1770,0
1.2.826.0.1.3680043.17706,0
1.2.826.0.1.3680043.1772,0
1.2.826.0.1.3680043.17721,0
1.2.826.0.1.3680043.17782,0
1.2.826.0.1.3680043.17787,0
1.2.826.0.1.3680043.17791,0
1.2.826.0.1.3680043.17809,0
1.2.826.0.1.3680043.17811,0
1.2.826.0.1.3680043.17817,0
1.2.826.0.1.3680043.17833,0
1.2.826.0.1.3680043.17858,0
1.2.826.0.1.3680043.17859,0
1.2.826.0.1.3680043.17872,0
1.2.826.0.1.3680043.17884,0
1.2.826.0.1.3680043.17886,0
1.2.826.0.1.3680043.17902,0
1.2.826.0.1.3680043.17916,0
1.2.826.0.1.3680043.17924,0
1.2.826.0.1.3680043.17938,0
1.2.826.0.1.3680043.17960,0
1.2.826.0.1.3680043.17964,0
1.2.826.0.1.3680043.18010,0
1.2.826.0.1.3680043.18025,0
1.2.826.0.1.3680043.18060,0
1.2.826.0.1.3680043.18068,0
1.2.826.0.1.3680043.18077,0
1.2.826.0.1.3680043.1810,0
1.2.826.0.1.3680043.18101,0
1.2.826.0.1.3680043.18110,0
1.2.826.0.1.3680043.18123,0
1.2.826.0.1.3680043.18135,0
1.2.826.0.1.3680043.18141,0
1.2.826.0.1.3680043.18163,0
1.2.826.0.1.3680043.18176,0
1.2.826.0.1.3680043.18188,0
1.2.826.0.1.3680043.18191,0
1.2.826.0.1.3680043.18197,0
1.2.826.0.1.3680043.18207,0
1.2.826.0.1.3680043.18219,0
1.2.826.0.1.3680043.18244,0
1.2.826.0.1.3680043.18254,0
1.2.826.0.1.3680043.18272,0
1.2.826.0.1.3680043.18274,0
1.2.826.0.1.3680043.18307,0
1.2.826.0.1.3680043.18337,0
1.2.826.0.1.3680043.18341,0
1.2.826.0.1.3680043.1836,0
1.2.826.0.1.3680043.18391,0
1.2.826.0.1.3680043.18479,0
1.2.826.0.1.3680043.18480,0
1.2.826.0.1.3680043.1852,0
1.2.826.0.1.3680043.18523,0
1.2.826.0.1.3680043.18524,0
1.2.826.0.1.3680043.18534,0
1.2.826.0.1.3680043.18541,0
1.2.826.0.1.3680043.18562,0
1.2.826.0.1.3680043.18576,0
1.2.826.0.1.3680043.18598,0
1.2.826.0.1.3680043.18601,0
1.2.826.0.1.3680043.18656,0
1.2.826.0.1.3680043.18659,0
1.2.826.0.1.3680043.1868,0
1.2.826.0.1.3680043.18696,0
1.2.826.0.1.3680043.18748,0
1.2.826.0.1.3680043.18758,0
1.2.826.0.1.3680043.18768,0
1.2.826.0.1.3680043.18770,0
1.2.826.0.1.3680043.18786,0
1.2.826.0.1.3680043.1880,0
1.2.826.0.1.3680043.18834,0
1.2.826.0.1.3680043.18861,0
1.2.826.0.1.3680043.18865,0
1.2.826.0.1.3680043.18900,0
1.2.826.0.1.3680043.18904,0
1.2.826.0.1.3680043.18906,0
1.2.826.0.1.3680043.18935,0
1.2.826.0.1.3680043.18937,0
1.2.826.0.1.3680043.18945,0
1.2.826.0.1.3680043.18954,0
1.2.826.0.1.3680043.18959,0
1.2.826.0.1.3680043.18968,0
1.2.826.0.1.3680043.18971,0
1.2.826.0.1.3680043.19012,0
1.2.826.0.1.3680043.19021,0
1.2.826.0.1.3680043.19051,0
1.2.826.0.1.3680043.19055,0
1.2.826.0.1.3680043.19064,0
1.2.826.0.1.3680043.19084,0
1.2.826.0.1.3680043.19097,0
1.2.826.0.1.3680043.19121,0
1.2.826.0.1.3680043.19124,0
1.2.826.0.1.3680043.19142,0
1.2.826.0.1.3680043.19153,0
1.2.826.0.1.3680043.19159,0
1.2.826.0.1.3680043.19165,0
1.2.826.0.1.3680043.19182,0
1.2.826.0.1.3680043.19185,0
1.2.826.0.1.3680043.19194,0
1.2.826.0.1.3680043.1920,0
1.2.826.0.1.3680043.19201,0
1.2.826.0.1.3680043.19238,0
1.2.826.0.1.3680043.19242,0
1.2.826.0.1.3680043.19258,0
1.2.826.0.1.3680043.19266,0
1.2.826.0.1.3680043.19283,0
1.2.826.0.1.3680043.19298,0
1.2.826.0.1.3680043.19304,0
1.2.826.0.1.3680043.1931,0
1.2.826.0.1.3680043.19333,0
1.2.826.0.1.3680043.19339,0
1.2.826.0.1.3680043.19343,0
1.2.826.0.1.3680043.19352,0
1.2.826.0.1.3680043.19360,0
1.2.826.0.1.3680043.19369,0
1.2.826.0.1.3680043.19381,0
1.2.826.0.1.3680043.19388,0
1.2.826.0.1.3680043.19397,0
1.2.826.0.1.3680043.19400,0
1.2.826.0.1.3680043.19401,0
1.2.826.0.1.3680043.19410,0
1.2.826.0.1.3680043.19439,0
1.2.826.0.1.3680043.19487,0
1.2.826.0.1.3680043.19517,0
1.2.826.0.1.3680043.19537,0
1.2.826.0.1.3680043.19565,0
1.2.826.0.1.3680043.19576,0
1.2.826.0.1.3680043.19596,0
1.2.826.0.1.3680043.19607,0
1.2.826.0.1.3680043.19612,0
1.2.826.0.1.3680043.19614,0
1.2.826.0.1.3680043.19618,0
1.2.826.0.1.3680043.19621,0
1.2.826.0.1.3680043.19639,0
1.2.826.0.1.3680043.19644,0
1.2.826.0.1.3680043.19649,0
1.2.826.0.1.3680043.19661,0
1.2.826.0.1.3680043.19675,0
1.2.826.0.1.3680043.19678,0
1.2.826.0.1.3680043.19680,0
1.2.826.0.1.3680043.19688,0
1.2.826.0.1.3680043.19700,0
1.2.826.0.1.3680043.19705,0
1.2.826.0.1.3680043.1972,0
1.2.826.0.1.3680043.19720,0
1.2.826.0.1.3680043.19727,0
1.2.826.0.1.3680043.19728,0
1.2.826.0.1.3680043.1975,0
1.2.826.0.1.3680043.19759,0
1.2.826.0.1.3680043.19761,0
1.2.826.0.1.3680043.19778,0
1.2.826.0.1.3680043.19780,0
1.2.826.0.1.3680043.19789,0
1.2.826.0.1.3680043.19797,0
1.2.826.0.1.3680043.19805,0
1.2.826.0.1.3680043.19808,0
1.2.826.0.1.3680043.1981,0
1.2.826.0.1.3680043.19846,0
1.2.826.0.1.3680043.19877,0
1.2.826.0.1.3680043.19882,0
1.2.826.0.1.3680043.19888,0
1.2.826.0.1.3680043.19947,0
1.2.826.0.1.3680043.19962,0
1.2.826.0.1.3680043.19967,0
1.2.826.0.1.3680043.19975,0
1.2.826.0.1.3680043.20004,0
1.2.826.0.1.3680043.20022,0
1.2.826.0.1.3680043.20023,0
1.2.826.0.1.3680043.20026,0
1.2.826.0.1.3680043.2003,0
1.2.826.0.1.3680043.20033,0
1.2.826.0.1.3680043.20038,0
1.2.826.0.1.3680043.20061,0
1.2.826.0.1.3680043.20070,0
1.2.826.0.1.3680043.20085,0
1.2.826.0.1.3680043.20087,0
1.2.826.0.1.3680043.20097,0
1.2.826.0.1.3680043.20111,0
1.2.826.0.1.3680043.20120,0
1.2.826.0.1.3680043.20153,0
1.2.826.0.1.3680043.20158,0
1.2.826.0.1.3680043.20161,0
1.2.826.0.1.3680043.20163,0
1.2.826.0.1.3680043.20171,0
1.2.826.0.1.3680043.20180,0
1.2.826.0.1.3680043.20212,0
1.2.826.0.1.3680043.2022,0
1.2.826.0.1.3680043.20257,0
1.2.826.0.1.3680043.20262,0
1.2.826.0.1.3680043.20276,0
1.2.826.0.1.3680043.20351,0
1.2.826.0.1.3680043.20381,0
1.2.826.0.1.3680043.20406,0
1.2.826.0.1.3680043.20431,0
1.2.826.0.1.3680043.20433,0
1.2.826.0.1.3680043.20509,0
1.2.826.0.1.3680043.20515,0
1.2.826.0.1.3680043.20516,0
1.2.826.0.1.3680043.20523,0
1.2.826.0.1.3680043.20565,0
1.2.826.0.1.3680043.20566,0
1.2.826.0.1.3680043.20574,0
1.2.826.0.1.3680043.2058,0
1.2.826.0.1.3680043.20611,0
1.2.826.0.1.3680043.20617,0
1.2.826.0.1.3680043.20618,0
1.2.826.0.1.3680043.20620,0
1.2.826.0.1.3680043.20639,0
1.2.826.0.1.3680043.20643,0
1.2.826.0.1.3680043.20647,0
1.2.826.0.1.3680043.20650,0
1.2.826.0.1.3680043.20659,0
1.2.826.0.1.3680043.20676,0
1.2.826.0.1.3680043.20699,0
1.2.826.0.1.3680043.2070,0
1.2.826.0.1.3680043.20708,0
1.2.826.0.1.3680043.20723,0
1.2.826.0.1.3680043.20727,0
1.2.826.0.1.3680043.20747,0
1.2.826.0.1.3680043.20756,0
1.2.826.0.1.3680043.20761,0
1.2.826.0.1.3680043.20773,0
1.2.826.0.1.3680043.20780,0
1.2.826.0.1.3680043.20798,0
1.2.826.0.1.3680043.20851,0
1.2.826.0.1.3680043.20873,0
1.2.826.0.1.3680043.20905,0
1.2.826.0.1.3680043.20925,0
1.2.826.0.1.3680043.20928,0
